trip_id_unique,line_id,direction,cluster,latitude,longitude,passengers_continue,mekadem_nipuach_luz,passengers_continue_menupach,station_index,trip_duration_in_minutes
1100042,19047,2,4,32.1334125952381,34.83094245238095,20.071428571428573,2.8,56.2,42,117.0
1100052,10575,1,9,32.128912166666666,34.828395799999996,21.766666666666666,1.0,21.766666666666666,30,97.0
1100062,13138,2,8,32.091970179487184,34.8394951025641,1.3333333333333333,2.333333333,3.111111111051282,39,47.0
1100072,15066,1,8,32.08669202702703,34.82372997297297,20.027027027027028,2.4,48.06486486486486,37,76.0
1100082,29082,2,8,32.08144713953488,34.82981120930233,16.74418604651163,2.375,39.76744186046512,43,80.0
1100092,29082,1,8,32.08216976190476,34.83213626190476,23.11904761904762,2.625,60.6875,42,82.0
1100142,59021,2,9,32.1042329787234,34.81608980851064,5.48936170212766,1.666666667,9.148936170425532,47,113.0
1100162,19047,1,4,32.13674780952381,34.83416019047619,18.976190476190474,2.4,45.542857142857144,42,82.0
1100851,16510,1,9,32.14944666666666,34.82536666666667,1.5,2.0,3.0,18,50.0
1100861,10504,2,9,32.1389744,34.8446848,1.48,0.5,0.74,25,48.0
1100871,16510,1,9,32.14944666666666,34.82536666666667,0.2777777777777778,2.0,0.5555555555555556,18,50.0
1100901,10605,1,9,32.208162424242424,34.82669090909091,11.424242424242424,1.307692308,14.939393939030303,33,72.0
1100931,10575,1,9,32.12885034482759,34.826940344827584,5.413793103448276,0.333333333,1.804597701,29,71.0
1101011,13608,1,9,32.20599,34.83335205128205,11.128205128205128,1.333333333,14.837606837871794,39,73.0
1101021,10575,2,9,32.13287814814815,34.83365851851852,8.444444444444445,2.333333333,19.703703704074073,27,67.0
1101041,10564,1,9,32.13431321428571,34.883477500000005,5.321428571428571,0.333333333,1.7738095237142857,28,59.0
1101051,10564,2,9,32.13494178571428,34.88383107142857,3.0,0.333333333,1.0,28,56.0
1101071,10572,2,9,32.14918625,34.84488833333334,6.229166666666667,1.0,6.229166666666667,48,83.0
1101092,15051,1,8,32.09041691666667,34.844220750000005,13.0,2.8,36.400000000000006,36,60.0
1101102,15051,2,8,32.090240860465116,34.844176999999995,16.3953488372093,5.0,81.97674418604652,43,66.0
1101131,10605,1,9,32.208162424242424,34.82669090909091,19.181818181818183,1.2,23.01818181818182,33,54.0
1101141,10605,2,9,32.213613,34.827920999999996,8.233333333333333,1.454545455,11.975757574800001,30,48.0
1101161,11501,2,9,32.1467135,34.831044500000004,8.975,2.857142857,25.642857142449998,40,75.0
1101171,10565,1,9,32.115449999999996,34.85338129032258,2.870967741935484,1.0,2.870967741935484,31,63.0
1101172,10531,1,9,32.13665316981132,34.83613254716981,8.075471698113208,0.333333333,2.6918238993396226,53,108.0
1101181,11501,2,9,32.1467135,34.831044500000004,12.225,1.666666667,20.375000000925002,40,100.0
1101282,10567,1,9,32.112243916666664,34.840147916666666,22.291666666666668,2.5,55.729166666666664,24,77.0
1101292,19047,2,4,32.1334125952381,34.83094245238095,8.785714285714286,1.75,15.375,42,89.0
1101311,10605,2,9,32.213613,34.827920999999996,24.033333333333335,1.736842105,41.742105263999996,30,73.0
1101312,10565,2,9,32.11754646666667,34.85592153333334,3.1333333333333333,3.0,9.4,30,55.0
